"","Bosque Ripario","Palma","Herbazal","Pastos","Bosque Denso","Bosque Abierto"
"Tigrisoma lineatum",2,0,0,0,0,2
"Manacus manacus",71,2,0,1,7,0
"Campylorhynchus griseus",105,105,35,8,1,18
"Milvago chimachima",54,42,19,3,1,6
"Patagioenas cayennensis",92,28,27,8,5,53
"Myiozetetes cayanensis",21,4,13,2,0,10
"Xiphorhynchus susurrans",36,2,1,0,0,0
"Phaethornis anthophilus",12,1,0,0,1,0
"Melanerpes rubricapillus",32,22,5,3,4,22
"Leptotila verreauxi",34,10,6,3,1,16
"Tigrisoma fasciatum",1,0,0,0,0,0
"Thraupis palmarum",46,22,4,1,0,4
"Dendroplex picus",10,7,6,0,0,3
"Momotus subrufescens",80,2,2,0,4,0
"Crotophaga major",103,9,36,0,0,46
"Columbina talpacoti",34,20,12,0,0,23
"Vanellus chilensis",4,0,2,1,0,1
"Coereba flaveola",44,9,1,4,6,0
"Bubulcus ibis",41,10,5,9,0,22
"Thamnophilus nigriceps",53,4,2,0,4,0
"Ortalis columbiana",49,9,12,1,7,0
"Camptostoma obsoletum",16,6,0,1,0,4
"Tyrannus melancholicus",34,42,5,5,2,10
"Megarynchus pitangua",17,4,1,1,0,1
"Thraupis episcopus",29,10,4,1,0,11
"Cathartes aura",3,3,0,5,0,0
"Sporophila funerea",9,15,2,10,0,3
"Pitangus sulphuratus",39,35,24,16,3,30
"Piranga rubra",5,0,0,1,0,1
"Megaceryle torquata",1,0,1,0,0,7
"Elaenia flavogaster",2,2,7,2,0,4
"Zenaida auriculata",1,1,0,5,0,0
"Tyrannulus elatus",7,3,1,0,0,5
"Henicorhina leucosticta",2,0,0,0,0,0
"Furnarius leucopus",20,8,14,0,0,7
"Tyrannus savana",1,1,0,0,0,0
"Myiarchus tyrannulus",2,0,0,0,1,0
"Crotophaga ani",58,106,24,15,9,36
"Icterus nigrogularis",9,7,7,1,2,10
"Crypturellus soui",25,4,0,0,2,0
"Falco sparverius",1,2,0,0,0,0
"Colinus cristatus",0,1,0,6,0,0
"Poecilotriccus sylvia",25,1,6,4,0,3
"Pteroglossus torquatus",16,4,6,0,0,1
"Galbula ruficauda",10,0,1,0,0,0
"Cantorchilus leucotis",24,4,2,0,0,1
"Rupornis magnirostris",35,17,6,2,0,0
"Ramphocelus dimidiatus",6,0,14,3,0,6
"Ortalis garrula",12,0,16,0,0,24
"Inezia caudata",2,0,1,0,0,0
"Formicivora grisea",22,3,4,2,0,0
"Cyanocorax affinis",0,0,1,2,0,0
"Veniliornis kirkii",10,0,1,0,0,0
"Vireo olivaceus",1,2,1,0,0,0
"Cercomacra nigricans",14,3,0,0,0,0
"Chrysuronia goudoti",7,0,0,1,1,0
"Myiarchus crinitus",11,2,1,1,0,1
"Parkesia noveboracensis",1,0,1,0,0,2
"Ictinia plumbea",2,0,0,0,0,0
"Donacobius atricapilla",0,1,3,0,0,14
"Tyrannus dominicensis",0,23,0,0,0,1
"Dendrocincla fuliginosa",3,0,6,0,0,0
"Mionectes oleagineus",5,0,0,0,0,0
"Buteogallus meridionalis",0,0,0,2,0,0
"Forpus conspicillatus",0,0,0,1,0,0
"Coragyps atratus",9,0,0,1,0,1
"Setophaga castanea",14,3,1,0,5,0
"Attila spadiceus",5,4,0,0,1,0
"Catharus ustulatus",2,1,0,0,5,0
"Pachyramphus polychopterus",0,0,0,0,2,0
"Setophaga fusca",0,0,0,0,1,0
"Chlorestes julie",5,0,0,0,1,0
"Herpetotheres cachinnans",6,2,0,0,1,4
"Turdus nudigenis",0,0,0,0,1,0
"Amazilia tzacatl",6,4,0,0,1,0
"Ceratopipra erythrocephala",0,0,0,0,3,0
"Setophaga petechia",1,0,13,1,0,3
"Sakesphorus canadensis",0,0,2,0,0,16
"Hypnelus ruficollis",0,0,0,1,0,12
"Synallaxis candei",0,0,0,0,0,2
"Chrysomus icterocephalus",0,0,27,0,0,17
"Colaptes punctigula",1,2,4,0,0,4
"Saltator coerulescens",2,2,14,3,0,23
"Nemosia pileata",0,0,0,0,0,2
"Dryocopus lineatus",2,3,0,0,0,1
"Certhiaxis cinnamomeus",0,0,1,0,0,17
"Chloroceryle aenea",1,0,0,0,0,1
"Ardea alba",0,0,0,0,0,7
"Psarocolius decumanus",5,11,0,0,0,2
"Fluvicola pica",0,0,2,0,0,20
"Myiozetetes similis",2,0,1,0,0,2
"Sporophila intermedia",0,0,0,0,0,3
"Chloroceryle amazona",0,0,0,0,0,2
"Protonotaria citrea",0,0,2,0,1,11
"Ardea cocoi",0,0,3,0,0,12
"Eupsittula pertinax",0,0,26,0,0,24
"Jacana jacana",0,0,12,0,0,55
"Hirundo rustica",7,3,0,10,0,248
"Quiscalus lugubris",1,0,0,0,0,25
"Euphonia laniirostris",11,6,1,1,0,6
"Progne tapera",0,0,0,0,0,3
"Tachycineta albiventer",0,0,0,0,0,1
"Coccycua pumila",0,0,0,0,0,2
"Porphyrio martinica",9,0,3,0,0,7
"Phimosus infuscatus",10,2,6,0,0,6
"Chloroceryle americana",0,0,2,0,0,1
"Tapera naevia",0,0,1,0,0,2
"Butorides striata",1,0,2,0,0,5
"Machetornis rixosa",0,1,0,0,0,1
"Phaetusa simplex",0,0,0,0,0,1
"Progne chalybea",0,0,0,0,0,1
"Legatus leucophaius",3,1,5,1,0,3
"Buteo nitidus",1,5,0,1,0,1
"Volatinia jacarina",2,9,0,6,0,0
"Sporophila minuta",0,1,1,0,0,1
"Tringa solitaria",0,0,1,0,0,5
"Aramides cajaneus",11,0,1,0,0,3
"Actitis macularius",0,0,1,0,0,1
"Todirostrum cinereum",3,0,4,2,0,1
"Phalacrocorax brasilianus",0,0,1,0,0,0
"Anthracothorax nigricollis",0,1,1,0,0,1
"Stelgidopteryx ruficollis",0,0,4,0,0,3
"Piranga olivacea",2,3,0,1,0,0
"Pachyramphus cinnamomeus",0,0,0,0,0,1
"Troglodytes aedon",1,10,0,0,0,2
"Chaetura brachyura",1,0,0,0,0,1
"Butorides virescens",0,0,0,0,0,1
"Chauna chavaria",3,0,0,0,0,1
"Empidonax virescens",6,1,5,0,0,1
"Mycteria americana",0,0,0,0,0,1
"Caracara cheriway",0,1,1,0,0,1
"Patagioenas speciosa",2,0,0,0,0,0
"Thamnophilus doliatus",1,0,0,0,0,0
"Pheugopedius fasciatoventris",13,2,0,0,0,0
"Glyphorynchus spirurus",4,0,0,0,0,0
"Schiffornis stenorhyncha",1,0,0,0,0,0
"Myiarchus tuberculifer",0,0,0,0,1,0
"Icterus auricapillus",2,1,0,0,0,0
"Falco femoralis",2,1,0,0,0,0
"Phaeomyias murina",0,1,0,0,0,0
"Columbina minuta",0,1,0,0,0,0
"Myiodynastes maculatus",4,5,0,0,0,0
"Molothrus bonariensis",0,2,0,1,0,0
"Polyerata amabilis",2,0,0,1,0,0
"Leiothlypis peregrina",7,0,0,0,0,0
"Leistes militaris",0,0,0,11,0,0
"Saltator maximus",0,0,4,1,0,0
"Mimus gilvus",0,0,0,4,0,0
"Egretta thula",13,0,0,0,0,0
"Cacicus cela",2,0,0,0,0,0
"Glaucis hirsutus",3,0,0,0,0,0
"Mesembrinibis cayennensis",2,1,0,0,0,0
"Picumnus olivaceus",0,2,0,0,0,0
"Coccyzus americanus",2,0,0,0,0,0
"Gampsonyx swainsonii",0,6,0,0,0,0
"Amazona amazonica",2,4,1,0,0,0
"Brotogeris jugularis",12,0,0,0,0,0
"Geranospiza caerulescens",1,0,0,0,0,0
"Chloroceryle inda",1,0,0,0,0,0
"Tersina viridis",1,0,0,0,0,0
"Chaetura",1,9,0,0,0,0
"Ornithion brunneicapillus",1,0,0,0,0,0
"Celeus loricatus",2,0,0,0,0,0
"Polytmus guainumbi",0,0,2,0,0,0
"Geothlypis philadelphia",0,0,2,0,0,0
"Nyctidromus albicollis",0,0,1,0,0,0
"Dendrocygna viduata",0,0,2,0,0,0
"Hylophilus flavipes",0,0,1,0,0,0
"Contopus virens",1,0,0,0,0,0
"Ixobrychus exilis",1,0,0,0,0,0
