"RedNiebla_Av.eventPer","RedNiebla_Av.order","RedNiebla_Av.observado","RedNiebla_Av.estimado","RedNiebla_Av.s.e.","RedNiebla_Av.LCL","RedNiebla_Av.UCL","RedNiebla_Av.parentEventID","RedNiebla_Av.Dis_Cienag","RedNiebla_Av.Dis_MGSG","RedNiebla_Av.Dis_Dre345","RedNiebla_Av.DisBosque","RedNiebla_Av.Dis_CobNat","RedNiebla_Av.Tam_Parche","RedNiebla_Av.Dis_CP","RedNiebla_Av.Dis_Oleodu","RedNiebla_Av.Dis_Pozo","RedNiebla_Av.Dis_Pozact","RedNiebla_Av.Dis_Ferroc","RedNiebla_Av.Dis_ViaPri","RedNiebla_Av.Dia_ViaSec","RedNiebla_Av.Plataf","RedNiebla_Av.CobMam"
"ANH_97_19","Species richness",5,5.493,1.306,5.029,13.339,"ANH_97",4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario"
"ANH_97_19","Shannon diversity",3.143,3.26,0.336,3.143,3.919,"ANH_97",4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario"
"ANH_97_19","Simpson diversity",2.679,2.748,0.272,2.679,3.281,"ANH_97",4606.35946233,2871.4363033,8221.53872304,0,0,45.7606127029,2307.99158293,4097.64529583,250.354132317,3677.2648422,8028.08634281,3322.98521392,1847.63222433,"Platero","Bosque Ripario"
"ANH_93_21","Species richness",9,16.918,11.545,9.977,73.175,"ANH_93",5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma"
"ANH_93_21","Shannon diversity",4.298,4.671,0.599,4.298,5.845,"ANH_93",5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma"
"ANH_93_21","Simpson diversity",3.598,3.698,0.25,3.598,4.189,"ANH_93",5735.55367351,13430.6962531,261.024939786,50.8986688367,50.8986688367,841.669467865,4561.14705348,1777.38846677,3909.69705531,10027.9846914,194.637141498,4812.91766651,4864.35735389,"Kale","Palma"
"ANH_64_21","Species richness",10,10.99,1.855,10.089,20.973,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_21","Shannon diversity",4.524,4.782,0.521,4.524,5.802,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_21","Simpson diversity",3.249,3.324,0.333,3.249,3.976,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_92_18","Species richness",3,4.5,2.872,3.132,20.083,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_18","Shannon diversity",2.828,4.891,2.875,2.828,10.527,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_18","Simpson diversity",2.667,6,1.757,2.667,9.443,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_19","Species richness",4,6.7,3.929,4.334,25.83,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_19","Shannon diversity",2.561,3.609,1.052,2.561,5.67,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_19","Simpson diversity",1.923,2.143,0.855,1.923,3.82,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_20","Species richness",5,5.9,1.71,5.08,15.153,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_20","Shannon diversity",4.353,5.831,1.682,4.353,9.128,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_20","Simpson diversity",3.846,5.625,1.744,3.846,9.043,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_21","Species richness",9,10.48,2.265,9.172,21.744,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_21","Shannon diversity",2.987,3.212,0.438,2.987,4.071,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_92_21","Simpson diversity",1.868,1.89,0.267,1.868,2.414,"ANH_92",6115.78644028,2788.44722515,6660.11795729,694.116255919,694.116255919,50.6570421766,2691.63405685,2046.42701215,1601.34825178,4916.42119629,5960.28110732,2402.99205263,1139.65130646,"Platero","Palma"
"ANH_96_18","Species richness",4,4.469,1.252,4.027,12.003,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_18","Shannon diversity",3.014,3.414,0.707,3.014,4.799,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_18","Simpson diversity",2.51,2.791,0.763,2.51,4.287,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_19","Species richness",6,8.906,4.286,6.354,29.89,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_19","Shannon diversity",2.735,3.153,0.691,2.735,4.508,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_19","Simpson diversity",1.862,1.915,0.43,1.862,2.758,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_21","Species richness",11,18.897,11.517,11.974,75.018,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_21","Shannon diversity",5.936,6.67,1.014,5.936,8.658,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_21","Simpson diversity",4.358,4.557,0.582,4.358,5.698,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_20","Species richness",3,3.45,1.209,3.026,10.74,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_20","Shannon diversity",2.23,2.58,0.794,2.23,4.137,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_96_20","Simpson diversity",1.852,2.045,0.807,1.852,3.627,"ANH_96",1879.65580808,3969.15234184,6756.93089132,0,0,78.6478687443,5009.68571135,6516.04547111,1483.0965635,1483.0965635,7852.13218571,5887.86432763,1929.60273451,"Platero","Bosque Ripario"
"ANH_74_19","Species richness",7,7.966,2.166,7.07,20.364,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_19","Shannon diversity",4.536,5.202,0.893,4.536,6.952,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_19","Simpson diversity",3.198,3.47,1,3.198,5.429,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_20","Species richness",6,8.9,4.277,6.353,29.843,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_20","Shannon diversity",3.698,4.3,0.739,3.698,5.748,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_20","Simpson diversity",2.922,3.129,0.553,2.922,4.214,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_72_19","Species richness",9,18.722,9.876,10.867,59.639,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_19","Shannon diversity",5.047,6.484,1.386,5.047,9.2,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_19","Simpson diversity",3.6,3.889,0.773,3.6,5.403,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_20","Species richness",8,15.704,11.243,8.949,70.506,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_20","Shannon diversity",4.901,6.478,1.628,4.901,9.67,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_20","Simpson diversity",3.455,3.815,1.03,3.455,5.834,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_74_21","Species richness",12,14.618,3.429,12.369,30.567,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_21","Shannon diversity",6.225,7.172,1.114,6.225,9.354,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_21","Simpson diversity",3.805,4.014,0.907,3.805,5.791,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_72_18","Species richness",7,16.091,9.206,8.752,54.174,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_18","Shannon diversity",6.041,12.356,5.328,6.041,22.8,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_18","Simpson diversity",5.261,9.167,6.059,5.261,21.043,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_21","Species richness",12,16.472,7.151,12.492,52.675,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_21","Shannon diversity",7.426,7.814,0.495,7.426,8.785,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_72_21","Simpson diversity",6.371,6.594,0.407,6.371,7.393,"ANH_72",4331.87502046,6268.24432985,3196.24146579,0,0,8.70872486456,4950.67258504,1169.07491888,2738.22115375,2738.22115375,5348.8634767,5454.13221662,976.31163881,"Kale","Bosque Ripario"
"ANH_74_18","Species richness",2,2,0.461,2,3.572,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_18","Shannon diversity",1.569,1.728,0.429,1.569,2.57,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_74_18","Simpson diversity",1.385,1.5,0.473,1.385,2.427,"ANH_74",4421.00036819,9515.35404258,2275.88245916,12.4085111975,12.4085111975,9.28189478913,5046.16252582,2975.40236869,5054.0602992,5054.0602992,4459.49889666,7039.95334335,827.17293553,"Kale","Bosque Ripario"
"ANH_65_20","Species richness",6,15.231,9.315,7.786,53.702,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_20","Shannon diversity",3.616,6.367,2.563,3.616,11.391,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_20","Simpson diversity",2.449,2.786,1.421,2.449,5.571,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_64_20","Species richness",4,4,0.518,4,5.6,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_20","Shannon diversity",3.1,3.326,0.441,3.1,4.191,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_20","Simpson diversity",2.77,3.012,0.403,2.77,3.802,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_19","Species richness",4,4.479,1.276,4.028,12.149,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_19","Shannon diversity",2.664,2.894,0.541,2.664,3.955,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_19","Simpson diversity",2.165,2.281,0.429,2.165,3.122,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_18","Species richness",4,4.923,2.016,4.069,16.365,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_18","Shannon diversity",2.976,3.571,0.676,2.976,4.895,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_64_18","Simpson diversity",2.522,2.889,0.628,2.522,4.12,"ANH_64",1704.98206483,3713.38512055,1483.99869512,566.848141184,566.848141184,632.865573488,3057.61306045,300.956705638,3145.61155353,3145.61155353,4248.82566272,3286.44681217,3252.41482179,"Kale","Palma"
"ANH_65_19","Species richness",3,3,0.39,3,4.011,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_19","Shannon diversity",2.44,2.634,0.437,2.44,3.491,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_19","Simpson diversity",2.085,2.275,0.512,2.085,3.278,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_21","Species richness",9,13.443,7.107,9.488,49.427,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_21","Shannon diversity",4.289,4.666,0.632,4.289,5.905,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_21","Simpson diversity",3.219,3.313,0.344,3.219,3.987,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_18","Species richness",3,4.5,2.872,3.132,20.083,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_18","Shannon diversity",2.828,4.891,2.967,2.828,10.706,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
"ANH_65_18","Simpson diversity",2.667,6,1.772,2.667,9.473,"ANH_65",4379.15379803,7527.02505015,1613.17213273,499.409004171,499.409004171,192.76476812,1898.25257565,471.653091133,5849.46423644,5849.46423644,2245.59235886,2329.92047504,497.063357747,"Kale","Palma"
